 debugger eval code:66:13
(index)	bookCover	title	author	isbn	isbn13	asin	num_pages	avg_rating	num_ratings	date_pub	date_pub__ed__	rating	shelves	review	notes	comments	votes	read_count	date_started	date_read
0	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521l/2547.jpg	The Prophet	Gibran, Kahlil	000100039X	9780001000391	000100039X	127	4.23	329,987	1923	Apr 13, 2003	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
1	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430821222l/22738563.jpg	We Should All Be Feminists	Adichie, Chimamanda Ngozi	<empty string>	<empty string>	B00L0F01NK	52	4.39	331,646	2012	Jul 29, 2014	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
2	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333255008l/8198474.jpg	Self-Reliance by Ralph Waldo Emerson	Emerson, Ralph Waldo	<empty string>	<empty string>	B002KMJIFY	200	4.00	9,877	1841	<empty string>	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
3	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611927558l/424.jpg	Slouching Towards Bethlehem	Didion, Joan	<empty string>	<empty string>	<empty string>	238	4.18	83,466	1968	Oct 28, 2008	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
4	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701192944l/25789.jpg	The Book of Five Rings	Miyamoto Musashi	1590302486	9781590302484	B01BIT922I	166	3.94	62,223	1645	Jan 11, 2005	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
5	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347470803l/10284614.jpg	The Clean Coder: A Code of Conduct for Professional Programmers	Martin, Robert C.	0137081073	9780137081073	0137081073	210	4.26	9,271	Jan 01, 2011	May 13, 2011	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
6	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404576602l/13099738.jpg	Steal Like an Artist: 10 Things Nobody Told You About Being Creative	Kleon, Austin *	0761169253	9780761169253	0761169253	160	3.96	338,496	Feb 28, 2012	Feb 28, 2012	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
7	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574272133l/1319.jpg	The War of Art	Pressfield, Steven *	<empty string>	<empty string>	<empty string>	168	3.97	119,040	2002	Apr 01, 2003	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
8	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471279721l/30763882.jpg	Fever Dream	Schweblin, Samanta	0399184597	9780399184598	0399184597	183	3.72	52,871	Oct 02, 2014	Jan 10, 2017	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
9	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646305232l/16842.jpg	A Single Man	Isherwood, Christopher	0816638624	9780816638628	0816638624	186	4.06	37,739	1964	Apr 01, 2001	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
10	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714l/2165.jpg	The Old Man and the Sea	Hemingway, Ernest	0684830493	9780684830490	0684830493	96	3.81	1,318,556	Sep 01, 1952	1996	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
11	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657549823l/59151.jpg	Chess Story	Zweig, Stefan	1590171691	9781590171691	1590171691	104	4.27	174,690	Sep 1942	Dec 09, 2005	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
12	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890.jpg	Of Mice and Men	Steinbeck, John	0142000671	9780142000670	0142000671	107	3.90	2,846,821	Feb 25, 1937	2002	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
13	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484763736l/33917107.jpg	On Tyranny: Twenty Lessons from the Twentieth Century	Snyder, Timothy *	0804190119	9780804190114	0804190119	127	4.29	108,907	Feb 28, 2017	Mar 28, 2017	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
14	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442839731l/6261332.jpg	Shop Class as Soulcraft: An Inquiry Into the Value of Work	Crawford, Matthew B.	1594202230	9781594202230	1594202230	241	3.74	11,156	2009	May 28, 2009	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
15	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600364459l/225111.jpg	The Laws of Simplicity	Maeda, John	0262134721	9780262134729	0262134721	128	3.89	7,015	Jul 07, 2006	Aug 21, 2006	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
16	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657562670l/49455.jpg	Notes from Underground	Dostoevsky, Fyodor	067973452X	9780679734529	067973452X	136	4.17	231,743	1864	Sep 1994	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Feb 06, 2026
17	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594619900l/43263151.jpg	Divided We Fall: America's Secession Threat and How to Restore Our Nation	French, David	1250201977	9781250201973	1250201977	288	4.09	1,364	Sep 22, 2020	Sep 22, 2020	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Jan 31, 2026
18	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1758540123l/241924195.jpg	Backwards into the Future: Unearthing Scandifuturism	Storesund, Eirik	<empty string>	<empty string>	B0FSJJH6GM	55	0.00	0	<empty string>	Sep 20, 2025	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Jan 30, 2026
19	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666884537l/63112473.jpg	Danish Classics (Novellix in English #17-#20)	Blixen, Karen	8793904495	9788793904491	8793904495	102	3.63	19	<empty string>	2022	null	to-read	Write a review	<empty string>	0	0	<empty string>	<empty string>	Jan 24, 2026
